feature_id,channel,actor,module,대메뉴,중메뉴,소메뉴,상세,기능 상세설명,상태키(state_keys),유효성 검사,핵심 계산 로직,데이터 항목,연관 기능(feature_ids),spec_id,owner,last_updated,change_note,notion_url,github_issue_url,github_pr_url,정책키(policy_keys),데이터 엔티티(data_entities),권한 기반 조회 범위,배경,입력(inputs),출력(outputs),요약
USR-WRK-1,웹,사용자,업무관리,업무관리,최상단 영역,구성원 및 일자 선택,날짜/대상 지정,특정 구성원을 선택하거나 조회하고자 하는 일자(기본값: 당일)를 캘린더 피커를 통해 변경함.,,미래 날짜 선택 제한 여부 확인 필요,-,,,,,,,,,,,,,,,,특정 구성원을 선택하거나 조회하고자 하는 일자(기본값: 당일)를 캘린더 피커를 통해 변경함.
USR-WRK-2,웹,사용자,업무관리,업무관리,사이드 영역,기본 정보,사용자 프로필 카드,"프로필 이미지, 현재 상태(연차 등 배지), 성명, 소속 부서 정보를 노출함. 근무 형태, 법정 근로 시간(8시간), 잔여 연차 정보를 함께 표시함.","연차, 근무중 등 상태 배지.",-,연차 정보: 총 연차(13.5) - 사용 연차(0).,,,,,,,,,,,,,,,,"프로필 이미지, 현재 상태(연차 등 배지), 성명, 소속 부서 정보를 노출함. 근무 형태, 법정 근로 시간(8시간), 잔여 연차 정보를 함께 표시함."
USR-WRK-3,웹,사용자,업무관리,업무관리,사이드 영역,근태 관리,출퇴근 시간 기록,"당일의 실제 출근 시간과 퇴근 시간을 표시하며, '이동기록 확인 >' 클릭 시 세부 위치 기록 팝업을 호출함.",,미출근 시 '-'로 표기.,-,,,,,,,,,,,,,,,,"당일의 실제 출근 시간과 퇴근 시간을 표시하며, '이동기록 확인 >' 클릭 시 세부 위치 기록 팝업을 호출함."
USR-WRK-4,웹,사용자,업무관리,업무관리,사이드 영역,일일 근로 시간,시간 통계 그래프,"오늘 근로 시간을 바 차트로 시각화함. 기본 근로, 연장, 야간, 휴일근무 시간을 개별적으로 집계하여 나열함.",,-,총 근로시간 = 기본 + 연장 + 야간 + 휴일,,,,,,,,,,,,,,,,"오늘 근로 시간을 바 차트로 시각화함. 기본 근로, 연장, 야간, 휴일근무 시간을 개별적으로 집계하여 나열함."
USR-WRK-5,웹,사용자,업무관리,업무관리,바디 영역,PC 사용 시간 현황,런처 감지 타임라인,09:00~18:00 사이의 실제 PC 사용 기록을 시계열 차트로 노출함. 런처 프로그램에서 수집된 활동 데이터를 기반으로 렌더링함.,,-,시간대별 PC 활성화 비중 계산.,,,,,,,,,,,,,,,,09:00~18:00 사이의 실제 PC 사용 기록을 시계열 차트로 노출함. 런처 프로그램에서 수집된 활동 데이터를 기반으로 렌더링함.
USR-WRK-6,웹,사용자,업무관리,업무관리,바디 영역,업무 등록 관리,업무 내역 테이블,"사용자가 직접 업무 형태, 프로젝트명, 상세 내용, 작업 시간을 입력함. '+ 추가' 버튼으로 행을 늘리거나 휴지통 아이콘으로 삭제 가능함.","업무, 회의, 외근 등 선택.",작업 시간 입력 시 0시간 0분 이상 필수,하단 합계: 입력된 각 행의 작업 시간 총합.,,,,,,,,,,,,,,,,"사용자가 직접 업무 형태, 프로젝트명, 상세 내용, 작업 시간을 입력함. '+ 추가' 버튼으로 행을 늘리거나 휴지통 아이콘으로 삭제 가능함."
USR-WRK-7,웹,사용자,업무관리,업무관리,바디 영역,업무 메모,자유 메모장,당일 업무와 관련된 특이사항을 자유롭게 기록하고 저장함.,,"최대 3,000자 제한.",-,,,,,,,,,,,,,,,,당일 업무와 관련된 특이사항을 자유롭게 기록하고 저장함.
USR-DSH-1,웹,사용자,대시보드,대시보드,-,-,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-DSH-2,웹,사용자,대시보드,대시보드,-,-,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-APR-1,웹,사용자,전자결재,전자결재,기안서 작성,기안서,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-APR-2,웹,사용자,전자결재,전자결재,기안서 작성,근태변경신청서,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-APR-3,웹,사용자,전자결재,전자결재,기안서 작성,휴가신청서,-,-,,-,-,,,,,,,,,,,,,,,,-
USR-APR-4,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,신청 기본 정보,"제목(필수), 신청일(기간), 신청 시간 및 근무지 구분을 설정함. 신청일은 최대 7일까지 선택 가능하며 '당일' 체크 시 시작/종료일이 동일하게 설정됨.",,제목 미입력 시 상신 불가,-,,,,,,,,,,,,,,,,"제목(필수), 신청일(기간), 신청 시간 및 근무지 구분을 설정함. 신청일은 최대 7일까지 선택 가능하며 '당일' 체크 시 시작/종료일이 동일하게 설정됨."
USR-APR-5,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,신청 시간 및 근무지,"시작/종료 시간과 '근무지 구분(선택)'을 입력함. '+ 추가' 버튼으로 여러 시간대 및 근무지를 등록할 수 있으며, '종일일정' 체크 시 시간 선택이 비활성화됨.",,근무지 구분 미선택 시 경고 노출.,-,,,,,,,,,,,,,,,,"시작/종료 시간과 '근무지 구분(선택)'을 입력함. '+ 추가' 버튼으로 여러 시간대 및 근무지를 등록할 수 있으며, '종일일정' 체크 시 시간 선택이 비활성화됨."
USR-APR-6,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,신청 시간 개별 설정,"개별 설정' 토글 활성화 시, 상단에서 선택한 신청 기간의 모든 날짜가 리스트 형태로 나열됨. 각 날짜별로 독립적인 시작/종료 시간 및 근무지 구분을 설정할 수 있음.

(상단의 '신청일' 범위가 변경될 때마다 하단의 개별 일정 리스트가 실시간으로 재생성)",개별 설정 토글 (ON/OFF),일자별 최소 1개 이상의 시간/근무지 정보 입력 필수.,"동적 리스트 생성: '신청일' 범위에 따라 날짜별 카드 섹션 자동 생성.

전체 반영: 특정 날짜의 설정을 선택하여 리스트 내 모든 날짜에 일괄 복사.",,,,,,,,,,,,,,,,"개별 설정' 토글 활성화 시, 상단에서 선택한 신청 기간의 모든 날짜가 리스트 형태로 나열됨. 각 날짜별로 독립적인 시작/종료 시간 및 근무지 구분을 설정할 수 있음.

(상단의 '신청일' 범위가 변경될 때마다 하단..."
USR-APR-7,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,개별 일정 컨트롤,"전체 반영' 버튼 클릭 시 특정 일자의 데이터를 전체 일자로 확산하며, '초기화' 클릭 시 입력된 모든 개별 데이터를 삭제함. 날짜별 카드 우측의 '+ 추가' 버튼으로 하루 내 여러 시간대 등록 가능",,-,데이터 초기화: 전체 배열(Array)을 빈 값으로 리셋,,,,,,,,,,,,,,,,"전체 반영' 버튼 클릭 시 특정 일자의 데이터를 전체 일자로 확산하며, '초기화' 클릭 시 입력된 모든 개별 데이터를 삭제함. 날짜별 카드 우측의 '+ 추가' 버튼으로 하루 내 여러 시간대 등록 가능"
USR-APR-8,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,휴게 및 근무 시간,근로기준법에 따라 휴게 시간이 자동 계산되어 노출됨. 신청 사유는 캘린더 일정 등록 시 제목으로 사용됨.,,-,"자동 계산: 근무 시간 4시간당 30분, 8시간당 1시간 휴게 적용.",,,,,,,,,,,,,,,,근로기준법에 따라 휴게 시간이 자동 계산되어 노출됨. 신청 사유는 캘린더 일정 등록 시 제목으로 사용됨.
USR-APR-9,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,상세 내용 작성,"리치 텍스트 에디터(Rich Text Editor)를 통해 출장 목적, 계획 등 상세 내용을 자유롭게 작성함. 하단에 현재 입력된 단어 수가 표시됨.",,-,-,,,,,,,,,,,,,,,,"리치 텍스트 에디터(Rich Text Editor)를 통해 출장 목적, 계획 등 상세 내용을 자유롭게 작성함. 하단에 현재 입력된 단어 수가 표시됨."
USR-APR-10,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,첨부 및 관련 문서,"드래그 앤 드롭 방식으로 파일을 첨부하고, 관련 결재 문서를 검색하여 연결함. 관련 문서가 없을 경우 안내 문구가 표시됨.",,-,-,,,,,,,,,,,,,,,,"드래그 앤 드롭 방식으로 파일을 첨부하고, 관련 결재 문서를 검색하여 연결함. 관련 문서가 없을 경우 안내 문구가 표시됨."
USR-APR-11,웹,사용자,전자결재,전자결재,기안서 작성,출장신청서,결재 처리 액션,"결재라인 지정, 결재요청, 미리보기, 임시저장 기능을 수행함. 상단 우측 설정에 따라 3분 간격으로 자동저장이 실행됨.",,필수값 누락 시 결재요청 버튼 비활성화.,-,,,,,,,,,,,,,,,,"결재라인 지정, 결재요청, 미리보기, 임시저장 기능을 수행함. 상단 우측 설정에 따라 3분 간격으로 자동저장이 실행됨."
USR-APR-12,웹,사용자,전자결재,전자결재,기안서 작성,재택근무신청서,신청 기본 정보,"제목(필수), 신청일(기간), 신청 시간 및 근무지 구분을 설정함. 신청일은 최대 7일까지 선택 가능하며 '당일' 체크 시 시작/종료일이 동일하게 설정됨.",,제목 미입력 시 상신 불가,-,,,,,,,,,,,,본인,,,,"제목(필수), 신청일(기간), 신청 시간 및 근무지 구분을 설정함. 신청일은 최대 7일까지 선택 가능하며 '당일' 체크 시 시작/종료일이 동일하게 설정됨."
USR-APR-13,웹,사용자,전자결재,전자결재,기안서 작성,재택근무신청서,신청 시간,"시작/종료 시간과 '근무지 구분(선택)'을 입력함. '+ 추가' 버튼으로 여러 시간대 등록할 수 있으며, '종일일정' 체크 시 시간 선택이 비활성화됨.

마이 페이지 > 거주지 정보 연동하여 근무지로 자동 설정됨",,-,-,,,,,,,,,,,,,,,,"시작/종료 시간과 '근무지 구분(선택)'을 입력함. '+ 추가' 버튼으로 여러 시간대 등록할 수 있으며, '종일일정' 체크 시 시간 선택이 비활성화됨.

마이 페이지 > 거주지 정보 연동하여 근무지로 자동 설정됨"
USR-APR-14,웹,사용자,전자결재,전자결재,기안서 작성,재택근무신청서,신청 시간 개별 설정,"개별 설정' 토글 활성화 시, 상단에서 선택한 신청 기간의 모든 날짜가 리스트 형태로 나열됨. 각 날짜별로 독립적인 시작/종료 시간 및 근무지 구분을 설정할 수 있음.

(상단의 '신청일' 범위가 변경될 때마다 하단의 개별 일정 리스트가 실시간으로 재생성)",개별 설정 토글 (ON/OFF),일자별 최소 1개 이상의 시간/근무지 정보 입력 필수.,"동적 리스트 생성: '신청일' 범위에 따라 날짜별 카드 섹션 자동 생성.

전체 반영: 특정 날짜의 설정을 선택하여 리스트 내 모든 날짜에 일괄 복사.",,,,,,,,,,,,,,,,"개별 설정' 토글 활성화 시, 상단에서 선택한 신청 기간의 모든 날짜가 리스트 형태로 나열됨. 각 날짜별로 독립적인 시작/종료 시간 및 근무지 구분을 설정할 수 있음.

(상단의 '신청일' 범위가 변경될 때마다 하단..."
USR-APR-15,웹,사용자,전자결재,전자결재,기안서 작성,재택근무신청서,개별 일정 컨트롤,"전체 반영' 버튼 클릭 시 특정 일자의 데이터를 전체 일자로 확산하며, '초기화' 클릭 시 입력된 모든 개별 데이터를 삭제함. 날짜별 카드 우측의 '+ 추가' 버튼으로 하루 내 여러 시간대 등록 가능",,-,데이터 초기화: 전체 배열(Array)을 빈 값으로 리셋,,,,,,,,,,,,,,,,"전체 반영' 버튼 클릭 시 특정 일자의 데이터를 전체 일자로 확산하며, '초기화' 클릭 시 입력된 모든 개별 데이터를 삭제함. 날짜별 카드 우측의 '+ 추가' 버튼으로 하루 내 여러 시간대 등록 가능"
USR-APR-16,웹,사용자,전자결재,전자결재,기안서 작성,재택근무신청서,데이터 연동,알림: 결재 상신 시 결재선 지정자에게 푸시 알림 발송.,,-,-,,,,,,,,,,,,,,,,알림: 결재 상신 시 결재선 지정자에게 푸시 알림 발송.
USR-APR-17,웹,사용자,전자결재,전자결재,기안서 작성,외근신청서,입력 폼,"1. 제목: 필수 입력 텍스트
2. 신청일: 기간 선택(DateRange). '당일' 체크 시 시작/종료일 동일화. 최대 7일 제한.
3. 신청 시간
: 시작/종료 시간 선택. '+추가' 버튼으로 다중 시간대 설정 가능. '종일일정' 토글 제공.
: 공통 -> 개별 : 공통 설정에 입력되어 있던 시간 데이터가 개별 설정의 모든 날짜에 기본값으로 복사
: 개별 -> 공통 : 신청 기간내 동일한 시간 반영  
4. 상세 내용: 에디터(Rich Text) 활용 전문 입력.
5. 파일 첨부 : 파일 드래그 또는 파일 선택
6. 관련 문서 : 문서 검색 ","임시저장, 결재대기, 승인, 반려","1.시간 중복 방지 : 동일한 날짜내 추가된 시간대끼리 겹치지 않아야 함 
2. 신청일 연동 : 상단 신청일 섹션에서 날짜 범위 변경시, 개별 설정 리스트의 날짜 항목도 실시간으로 변경
","1. 기간 제한: (종료일 - 시작일) > 7일 일 경우 에러 알럿.


2. 휴게 시간: 근로기준법 의거, 근무 4시간당 30분/8시간당 1시간 자동 차감 노출.",,,,,,,,,,,,,,,,"1. 제목: 필수 입력 텍스트
2. 신청일: 기간 선택(DateRange). '당일' 체크 시 시작/종료일 동일화. 최대 7일 제한.
3. 신청 시간
: 시작/종료 시간 선택. '+추가' 버튼으로 다중 시간대 설정 ..."
USR-APR-18,웹,사용자,전자결재,전자결재,기안서 작성,외근신청서,데이터 연동,"1. 자동 등록: 신청 완료 시 해당 일정이 사용자 캘린더(USR-SCH)에 자동 등록됨.
2. 알림: 결재 상신 시 결재선 지정자에게 푸시 알림 발송.",,-,-,,,,,,,,,,,,,,,,"1. 자동 등록: 신청 완료 시 해당 일정이 사용자 캘린더(USR-SCH)에 자동 등록됨.
2. 알림: 결재 상신 시 결재선 지정자에게 푸시 알림 발송."
USR-APR-19,웹,사용자,전자결재,전자결재,기안서 작성,파견신청서,입력 폼,"1. 제목: 필수 입력 텍스트
2. 신청일: 기간 선택(DateRange). '당일' 체크 시 시작/종료일 동일화. 최대 30일 제한.
3. 신청 시간: 시작/종료 시간 선택. '+추가' 버튼으로 다중 시간대 설정 가능. '종일일정' 토글 제공.
4. 상세 내용: 에디터(Rich Text) 활용 전문 입력.
5. 파일 첨부 : 파일 드래그 또는 파일 선택
6. 관련 문서 : 문서 검색 ","임시저장, 결재대기, 승인, 반려","1.시간 중복 방지 : 동일한 날짜내 추가된 시간대끼리 겹치지 않아야 함 
2. 신청일 연동 : 상단 신청일 섹션에서 날짜 범위 변경시, 개별 설정 리스트의 날짜 항목도 실시간으로 변경
","1. 기간 제한: (종료일 - 시작일) > ３０일 일 경우 에러 알럿.


2. 휴게 시간: 근로기준법 의거, 근무 4시간당 30분/8시간당 1시간 자동 차감 노출.",,,,,,,,,,,,,,,,"1. 제목: 필수 입력 텍스트
2. 신청일: 기간 선택(DateRange). '당일' 체크 시 시작/종료일 동일화. 최대 30일 제한.
3. 신청 시간: 시작/종료 시간 선택. '+추가' 버튼으로 다중 시간대 설정 ..."
USR-APR-20,웹,사용자,전자결재,전자결재,기안서 작성,파견신청서,데이터 연동,"1. 자동 등록: 신청 완료 시 해당 일정이 사용자 캘린더(USR-SCH)에 자동 등록됨.
2. 알림: 결재 상신 시 결재선 지정자에게 푸시 알림 발송.",,-,-,,,,,,,,,,,,,,,,"1. 자동 등록: 신청 완료 시 해당 일정이 사용자 캘린더(USR-SCH)에 자동 등록됨.
2. 알림: 결재 상신 시 결재선 지정자에게 푸시 알림 발송."
USR-APR-21,웹,사용자,전자결재,전자결재,기안서 작성,시간외근무신청서,기안서 헤더 및 결재선,"기안자, 소속부서, 기안일, 문서번호 등 기본 정보를 자동 렌더링함. 좌측 결재란 영역에 지정된 결재자의 상태(기안 등)를 표시함.",[기안]: 본인 기안 상태.,-,-,-,,,,,,,,,,,,,,,"기안자, 소속부서, 기안일, 문서번호 등 기본 정보를 자동 렌더링함. 좌측 결재란 영역에 지정된 결재자의 상태(기안 등)를 표시함."
USR-APR-22,웹,사용자,전자결재,전자결재,기안서 작성,시간외근무신청서,근무일시 설정,"근무 날짜를 캘린더 피커로 선택하고, 시작/종료 시 및 분을 지정함. 휴일 근무일 경우 '휴일' 체크박스를 활성화함.",,종료 시간은 시작 시간보다 빨라야 함.,-,,,,,,,,,,,,,,,,"근무 날짜를 캘린더 피커로 선택하고, 시작/종료 시 및 분을 지정함. 휴일 근무일 경우 '휴일' 체크박스를 활성화함."
USR-APR-23,웹,사용자,전자결재,전자결재,기안서 작성,시간외근무신청서,휴게시간 관리,"휴게하지 않음' 토글을 통해 휴게 시간 입력 여부를 결정함. 시작/종료 시간을 선택하며, '+ 추가' 버튼으로 다중 휴게 시간을 설정할 수 있음.",,[제약]: 휴게 시간은 설정된 시간외근무 신청 범위(근무일시) 내에서만 설정 가능함.,총 휴게시간 = Σ(각 휴게 종료 시간 - 시작 시간).,,,,,,,,,,,,,,,,"휴게하지 않음' 토글을 통해 휴게 시간 입력 여부를 결정함. 시작/종료 시간을 선택하며, '+ 추가' 버튼으로 다중 휴게 시간을 설정할 수 있음."
USR-APR-24,웹,사용자,전자결재,전자결재,기안서 작성,시간외근무신청서,근무시간 자동계산,입력된 근무일시와 휴게시간을 바탕으로 순수 근무 시간을 실시간으로 계산하여 표시함.,,-,순수 근무시간 = (근무 종료 - 근무 시작) - 총 휴게시간.,,,,,,,,,,,,,,,,입력된 근무일시와 휴게시간을 바탕으로 순수 근무 시간을 실시간으로 계산하여 표시함.
USR-APR-25,웹,사용자,전자결재,전자결재,기안서 작성,시간외근무신청서,파일 및 관련문서,드래그 앤 드롭 또는 파일 선택을 통해 증빙 서류를 첨부함. '문서 검색' 버튼을 클릭하여 본 기안과 연관된 과거 결재 문서를 연결함.,,"관련 문서가 없을 시 ""관련된 문서가 없습니다."" 안내 노출.",-,,,,,,,,,,,,,,,,드래그 앤 드롭 또는 파일 선택을 통해 증빙 서류를 첨부함. '문서 검색' 버튼을 클릭하여 본 기안과 연관된 과거 결재 문서를 연결함.
USR-APR-26,웹,사용자,전자결재,전자결재,기안서 작성,시간외근무신청서,기안 액션 버튼,"결재라인 지정, 결재요청, 미리보기, 임시저장 기능을 하단 버튼을 통해 수행함. 상단 우측 '자동저장' 옵션을 통해 작성 중인 내용을 주기적으로 백업함.",,필수 입력값(신청 사유 등) 누락 시 결재요청 불가.,-,,,,,,,,,,,,,,,,"결재라인 지정, 결재요청, 미리보기, 임시저장 기능을 하단 버튼을 통해 수행함. 상단 우측 '자동저장' 옵션을 통해 작성 중인 내용을 주기적으로 백업함."
USR-APR-27,웹,사용자,전자결재,전자결재,기안서 작성,공문서,-,-,,-,-,-,,,,,,,,,,,,,,,-
USR-APR-28,웹,사용자,전자결재,전자결재,기안서 작성,품의서,-,-,,-,-,-,,,,,,,,,,,,,,,-
USR-APR-29,웹,사용자,전자결재,전자결재,기안서 작성,지출결의서,-,-,,-,-,-,,,,,,,,,,,,,,,-
USR-APR-30,웹,사용자,전자결재,전자결재,나의 현황,,-,-,,-,-,-,,,,,,,,,,,,,,,-
USR-APR-31,웹,사용자,전자결재,전자결재,결재 현황,결재할문서,-,-,,-,-,-,,,,,,,,,,,,,,,-
USR-APR-32,웹,사용자,전자결재,전자결재,결재 현황,상신한 문서,-,-,,-,-,-,,,,,,,,,,,,,,,-
USR-SCH-1,웹,사용자,일정,일정,일정,월간캘린더,전사일정통합뷰,"전사원의 연차, 반차, 출장, 외근 일정을 캘린더 형식으로 시각화하여 노출함. 상단 탭(일정, 나의 근태 현황, 연차 및 휴가) 전환 기능 포함.","연차, 반차, 출장, 외근, 신청.",선택된 연/월 범위를 벗어난 데이터 렌더링 제외,-,,,,,,,,,,,,,,,,"전사원의 연차, 반차, 출장, 외근 일정을 캘린더 형식으로 시각화하여 노출함. 상단 탭(일정, 나의 근태 현황, 연차 및 휴가) 전환 기능 포함."
USR-SCH-2,웹,사용자,일정,일정,일정,상세 팝업,일정확인 탭,"캘린더의 일정 라벨 클릭 시 해당 일정의 상세 정보를 담은 모달을 노출함. 상단 탭(일정 확인, 메모 내역)을 통해 정보 영역을 전환","팝업 Open/Close, 선택된 탭",데이터 로딩 중 스켈레톤 UI 노출 및 호출 실패 시 에러 메시지 처리,"클릭된 일정의 고유 ID를 기반으로 작성자 정보(소속, 성명) 및 일정 상세(일자, 시간, 근무지, 내용) 데이터를 호출",,,,,,,,,,,,,,,,"캘린더의 일정 라벨 클릭 시 해당 일정의 상세 정보를 담은 모달을 노출함. 상단 탭(일정 확인, 메모 내역)을 통해 정보 영역을 전환"
USR-SCH-3,웹,사용자,일정,일정,일정,상세 팝업,메모내역 탭,일정 상세 팝업 내 '메모 내역' 탭 클릭 시 해당 일정과 관련된 모든 메모 리스트를 노출함. 모바일 앱에서 출장/외근 일정 갱신 시 남긴 메모가 자동으로 동기화되어 표시됨.,,-,생성일자(최신순) 기준 정렬 로직 적용.,,,,,,,,,,,,,,,,일정 상세 팝업 내 '메모 내역' 탭 클릭 시 해당 일정과 관련된 모든 메모 리스트를 노출함. 모바일 앱에서 출장/외근 일정 갱신 시 남긴 메모가 자동으로 동기화되어 표시됨.
USR-SCH-4,웹,사용자,일정,일정,일정,상세 팝업,메모내역 관리,리스트에 노출된 메모 중 본인이 작성한 메모에 한해 '수정' 및 '삭제' 기능을 제공함. 이 기능은 모바일 앱과 웹 일정 페이지 모두에서 동일하게 적용됨.,,삭제 시 재확인 컨펌창,-,,,,,,,,,,,,,,,,리스트에 노출된 메모 중 본인이 작성한 메모에 한해 '수정' 및 '삭제' 기능을 제공함. 이 기능은 모바일 앱과 웹 일정 페이지 모두에서 동일하게 적용됨.
USR-SCH-5,웹,사용자,일정,일정,일정,상세 팝업,상세 정보 리스트,"일정 종류(출장, 외근 등)를 제목으로 하고, 일자, 시간, 근무지, 내용을 아이콘과 함께 리스트 형태로 나열함","데이터 있음, 데이터 없음","내역이 없을 경우 ""메모 내역이 없습니다."" 문구 및 아이콘 노출.",근무지' 데이터가 존재할 경우에만 해당 행을 노출하는 조건부 렌더링.,,,,,,,,,,,,,,,,"일정 종류(출장, 외근 등)를 제목으로 하고, 일자, 시간, 근무지, 내용을 아이콘과 함께 리스트 형태로 나열함"
USR-SCH-6,웹,사용자,일정,일정,연차 및 휴가,개인 연차 요약,연차 현황 카드,"사용자의 총 연차, 사용 연차, 잔여 연차 정보를 카드 형태로 시각화하여 노출함. 좌측 상단 셀렉트 박스에서 선택한 연도(예: 2026년도)를 기준으로 데이터를 집계함.",,-,잔여 연차 = 총 연차 - 사용 연차.,,,,,,,,,,,,,,,,"사용자의 총 연차, 사용 연차, 잔여 연차 정보를 카드 형태로 시각화하여 노출함. 좌측 상단 셀렉트 박스에서 선택한 연도(예: 2026년도)를 기준으로 데이터를 집계함."
USR-SCH-7,웹,사용자,일정,일정,연차 및 휴가,연차 및 휴가 리스트,항목별 상세 내역,야호데이연차 등 보유 중인 휴가 항목별 발생 일수와 소멸 예정 정보를 리스트로 노출함. '연차 외 휴가 확인' 버튼 클릭 시 추가 상세 정보 팝업 호출.,,-,"소멸 예정일이 30일 이내일 경우 ""N일 후 소멸"" 배지 노출.",,,,,,,,,,,,,,,,야호데이연차 등 보유 중인 휴가 항목별 발생 일수와 소멸 예정 정보를 리스트로 노출함. '연차 외 휴가 확인' 버튼 클릭 시 추가 상세 정보 팝업 호출.
USR-SCH-8,웹,사용자,일정,일정,연차 및 휴가,신청 관리,연차(휴가) 신청 버튼,클릭 시 앞서 정의한 '재택/휴가 신청서 작성' 페이지(USR-APR-001)로 이동함.,,잔여 연차가 0일인 경우 버튼 비활성화 또는 안내 메시지 출력.,-,,,,,,,,,,,,,,,,클릭 시 앞서 정의한 '재택/휴가 신청서 작성' 페이지(USR-APR-001)로 이동함.
USR-SCH-9,웹,사용자,일정,일정,연차 및 휴가,사용 내역,상태별 필터 탭,"전체, 진행, 완료, 반려, 취소 상태별로 사용 내역을 필터링하여 하단 테이블에 렌더링함","전체, 진행, 완료, 반려, 취소.",-,각 상태값에 해당하는 데이터 필터링 로직,,,,,,,,,,,,,,,,"전체, 진행, 완료, 반려, 취소 상태별로 사용 내역을 필터링하여 하단 테이블에 렌더링함"
USR-SCH-10,웹,사용자,일정,일정,연차 및 휴가,사용 내역,내역 상세 테이블,"결재상태, 사용일, 휴가형태, 사용일수, 사유, 신청일 정보를 리스트로 표시함. '기안서 확인' 아이콘 클릭 시 해당 전자결재 문서를 새 창이나 팝업으로 노출함.","[완료]: 결재 완료(파란색 아이콘), [진행]: 결재 중 등.",-,-,,,,,,,,,,,,,,,,"결재상태, 사용일, 휴가형태, 사용일수, 사유, 신청일 정보를 리스트로 표시함. '기안서 확인' 아이콘 클릭 시 해당 전자결재 문서를 새 창이나 팝업으로 노출함."
